coef,se,p_value,n_treat,n_control,bw_left,bw_right,spec_suffix,bw_method,kernel
0.08245081028075775,0.14820351896521608,0.5779818392126805,168,201,82.05581133307585,79.35980192917832,_geo_noborder_enslaved,certwo,triangular
0.09594040306724771,0.11090408477456656,0.38699736830255976,222,238,71.18088805979322,71.18088805979322,_no_controls,cersum,triangular
0.1443055827704347,0.0953847640696067,0.1303104602102587,242,266,78.44746575914378,78.44746575914378,_geo,cersum,triangular
-0.0056313994514279875,0.08180715019799667,0.9451189706227271,270,295,90.71357012355351,90.71357012355351,_geo_enslaved,cersum,triangular
0.24011054714818858,0.16038511448141513,0.13437049659437647,179,205,83.0360301672247,83.0360301672247,_geo_noborder,cersum,triangular
0.07421597157847812,0.14415113780814798,0.6066590145431393,177,205,83.00769141221318,83.00769141221318,_geo_noborder_enslaved,cersum,triangular
0.028389926685646216,0.08646781467694384,0.7426626086582624,312,354,108.63412528702727,108.63412528702727,_no_controls,mserd,uniform
0.11605453514944382,0.07719174898379652,0.13272103779230673,297,340,102.58566166193478,102.58566166193478,_geo,mserd,uniform
0.0590975979332795,0.06941766601142395,0.3945840138588041,320,363,113.14251651474609,113.14251651474609,_geo_enslaved,mserd,uniform
0.18948311546269855,0.13249166679859345,0.1526736297197778,200,230,91.86473858735906,91.86473858735906,_geo_noborder,mserd,uniform
0.07718371709960735,0.11091603463790659,0.48650699351342164,221,259,101.18555921427796,101.18555921427796,_geo_noborder_enslaved,mserd,uniform
0.06474242667012753,0.08707311866588816,0.4571542575215179,343,299,91.35356871680308,123.13925983351004,_no_controls,msetwo,uniform
0.1131486935325458,0.0786939404435964,0.15048162733777323,274,344,103.53681448850574,92.29352665391315,_geo,msetwo,uniform
0.02007071379251818,0.07220492672379422,0.7810363416014897,300,345,104.02405869051714,103.84823016063056,_geo_enslaved,msetwo,uniform
0.2740072975740607,0.14202295428691641,0.05369152276441014,178,222,89.0215765175768,82.53863884038665,_geo_noborder,msetwo,uniform
0.12569868381402857,0.12340144238953661,0.3083853046314158,226,218,86.1889522750917,104.49137753671816,_geo_noborder_enslaved,msetwo,uniform
0.004423474940516314,0.07662113041142829,0.953962271886345,370,417,134.06204909043566,134.06204909043566,_no_controls,msesum,uniform
0.10803432233461807,0.08538553775084964,0.20578058786833076,244,270,79.90427806183978,79.90427806183978,_geo,msesum,uniform
0.03744948603325181,0.07082383839776595,0.5969653540230436,310,354,107.97377427965883,107.97377427965883,_geo_enslaved,msesum,uniform
0.16985628207169248,0.14909472854651187,0.2545985815592771,168,195,78.61638290726054,78.61638290726054,_geo_noborder,msesum,uniform
0.07311391045531171,0.12216598333644084,0.5495196303644485,197,229,91.45908055634494,91.45908055634494,_geo_noborder_enslaved,msesum,uniform
0.053743956336372634,0.0989128122419466,0.5868910729339438,233,247,74.27065858327367,74.27065858327367,_no_controls,cerrd,uniform
0.12446016976514931,0.09361871212257337,0.18370387297766516,219,234,70.14770392599762,70.14770392599762,_geo,cerrd,uniform
-0.014986598376382998,0.07973995893103135,0.8509210267254054,241,262,77.37224429378816,77.37224429378816,_geo_enslaved,cerrd,uniform
0.2380904765259193,0.1995180093402459,0.23274084364719955,127,138,63.0533620399503,63.0533620399503,_geo_noborder,cerrd,uniform
0.06533480562993595,0.16083188056547235,0.6845732898008043,142,163,69.4565247626753,69.4565247626753,_geo_noborder_enslaved,cerrd,uniform
0.07148493804124634,0.0987176659086552,0.46898272816047837,255,209,62.456338600809275,84.18748621694651,_no_controls,certwo,uniform
