coef,se,p_value,n_treat,n_control,bw_left,bw_right,spec_suffix,bw_method,kernel
0.039979715898680455,0.03161346198785449,0.20599964346705296,139,155,67.19803273906642,67.19803273906642,_geo_noborder_enslaved,cerrd,triangular
0.04128249156615316,0.011824114712451017,4.805301506013635e-4,391,297,90.11948608240795,143.79203501259664,_no_controls,certwo,triangular
0.03714865105857289,0.011514198333348359,0.0012538688548926768,370,304,92.17870121643668,133.1088797107099,_geo,certwo,triangular
0.02904756475843786,0.01253951228816829,0.02053192152304427,251,303,91.89379805351892,82.82556311974048,_geo_enslaved,certwo,triangular
0.06362159712148478,0.027308025691241116,0.0198179656626842,207,156,67.57816509252822,96.13786054167899,_geo_noborder,certwo,triangular
0.040754574264940176,0.028595301653960268,0.15409383464265677,180,155,66.97273665442708,84.30691034925854,_geo_noborder_enslaved,certwo,triangular
0.04710666980539324,0.011327001858176583,3.1993195889343825e-5,347,396,123.64970222284096,123.64970222284096,_no_controls,cersum,triangular
0.041468114576179514,0.011742689665823446,4.1336875212208163e-4,298,341,102.04305294760798,102.04305294760798,_geo,cersum,triangular
0.030265026652197644,0.011989662603328427,0.011594211677173899,287,323,97.5983493643739,97.5983493643739,_geo_enslaved,cersum,triangular
0.049020101108975866,0.022221052073663795,0.027382549562804667,199,231,91.4990483930463,91.4990483930463,_geo_noborder,cersum,triangular
0.04080654534005703,0.030375501191566366,0.17914145301298356,142,163,69.31487691010064,69.31487691010064,_geo_noborder_enslaved,cersum,triangular
0.04504325974084811,0.011055167251645279,4.613158357209715e-5,327,375,117.01816426577474,117.01816426577474,_no_controls,mserd,uniform
0.03513596161316716,0.010623976609046367,9.422262539204731e-4,322,363,112.27201893858773,112.27201893858773,_geo,mserd,uniform
0.027937260623137776,0.011946747770166211,0.019362232313154183,251,278,82.74268916352422,82.74268916352422,_geo_enslaved,mserd,uniform
0.05647587224025,0.019632543722919053,0.004019266112219386,201,235,92.74338516668408,92.74338516668408,_geo_noborder,mserd,uniform
0.038358104198528004,0.019933113378053167,0.054311874271499826,195,225,90.37895968689695,90.37895968689695,_geo_noborder_enslaved,mserd,uniform
0.04664730599814049,0.01040754316735144,7.392351844460484e-6,434,371,115.08818990583401,160.2161654587027,_no_controls,msetwo,uniform
0.03464735418023773,0.010655252067431792,0.0011472949518284243,385,309,93.71020117159073,141.67466447989838,_geo,msetwo,uniform
0.030640884664688797,0.011281630674633452,0.00660763470079811,296,306,92.44831927252532,101.49640785065166,_geo_enslaved,msetwo,uniform
0.06049801518252344,0.020903397104312986,0.003801605179395117,249,177,74.07380521151329,114.61496478358352,_geo_noborder,msetwo,uniform
0.044626432618225353,0.021074628307722554,0.034213786028495376,227,171,72.65932540148248,103.96352235310454,_geo_noborder_enslaved,msetwo,uniform
0.043342735171704616,0.010549905175516601,3.9849061621566354e-5,349,403,125.5718135938417,125.5718135938417,_no_controls,msesum,uniform
0.03454289650748761,0.00949727649872135,2.756852309230417e-4,380,434,139.25537434388687,139.25537434388687,_geo,msesum,uniform
0.03325585995057967,0.01090776670631647,0.0022973909895755607,292,331,100.4160094129639,100.4160094129639,_geo_enslaved,msesum,uniform
0.0345066212970178,0.01669099091732103,0.038698358514955615,238,286,108.49556664260903,108.49556664260903,_geo_noborder,msesum,uniform
0.04159853203092259,0.023817569538290544,0.08071574780484533,150,167,71.64527301722836,71.64527301722836,_geo_noborder_enslaved,msesum,uniform
0.045669395929797574,0.012708668777881885,3.261873227738199e-4,244,272,79.91407167579013,79.91407167579013,_no_controls,cerrd,uniform
0.038668842016490436,0.012224954186630735,0.0015609477924597946,239,259,76.68592143784761,76.68592143784761,_geo,cerrd,uniform
0.03148992204566944,0.014060561241034157,0.025117415277829454,186,200,56.52044687684482,56.52044687684482,_geo_enslaved,cerrd,uniform
0.06237376664723766,0.02936402590006949,0.033657115771020374,127,138,63.58194922607164,63.58194922607164,_geo_noborder,cerrd,uniform
0.04482303011193043,0.029351389990217237,0.12673172145283035,125,137,61.9658665869993,61.9658665869993,_geo_noborder_enslaved,cerrd,uniform
0.0426827755802639,0.012081119312061947,4.108491815806285e-4,316,268,78.59605314165518,109.41486059384177,_no_controls,certwo,uniform
0.04541279253460565,0.01248209799948375,2.7451402370111524e-4,285,213,64.00751668053951,96.76901059365211,_geo,certwo,uniform
0.03283813155198685,0.013352490614786171,0.013919803229005925,216,210,63.15023564160169,69.33086640169572,_geo_enslaved,certwo,uniform
0.060454274684847216,0.030246055906028208,0.04563551592713285,168,103,50.782672138564884,78.57641661796536,_geo_noborder,certwo,uniform
